"","time","value","age_group","econ_sector","vaccine_group","compartment"
"1",0,3924489.607551,"0-4","sector_00","unvaccinated","susceptible"
"2",1,3924489.49076855,"0-4","sector_00","unvaccinated","susceptible"
"3",2,3924489.39187967,"0-4","sector_00","unvaccinated","susceptible"
"4",3,3924489.29886601,"0-4","sector_00","unvaccinated","susceptible"
"5",4,3924489.20477576,"0-4","sector_00","unvaccinated","susceptible"
"6",5,3924489.10529062,"0-4","sector_00","unvaccinated","susceptible"
"7",6,3924488.99743359,"0-4","sector_00","unvaccinated","susceptible"
"8",7,3924488.87887602,"0-4","sector_00","unvaccinated","susceptible"
"9",8,3924488.74755981,"0-4","sector_00","unvaccinated","susceptible"
"10",9,3924488.60148484,"0-4","sector_00","unvaccinated","susceptible"
"11",10,3924488.43858313,"0-4","sector_00","unvaccinated","susceptible"
"12",0,11762037.8237961,"5-19","sector_00","unvaccinated","susceptible"
"13",1,11762037.1735627,"5-19","sector_00","unvaccinated","susceptible"
"14",2,11762036.6320492,"5-19","sector_00","unvaccinated","susceptible"
"15",3,11762036.126086,"5-19","sector_00","unvaccinated","susceptible"
"16",4,11762035.6143383,"5-19","sector_00","unvaccinated","susceptible"
"17",5,11762035.0719165,"5-19","sector_00","unvaccinated","susceptible"
"18",6,11762034.482242,"5-19","sector_00","unvaccinated","susceptible"
"19",7,11762033.83272,"5-19","sector_00","unvaccinated","susceptible"
"20",8,11762033.112409,"5-19","sector_00","unvaccinated","susceptible"
"21",9,11762032.3107346,"5-19","sector_00","unvaccinated","susceptible"
"22",10,11762031.4167465,"5-19","sector_00","unvaccinated","susceptible"
"23",0,6905936.3094063,"20-64","sector_00","unvaccinated","susceptible"
"24",1,6905936.03998306,"20-64","sector_00","unvaccinated","susceptible"
"25",2,6905935.8116651,"20-64","sector_00","unvaccinated","susceptible"
"26",3,6905935.5946061,"20-64","sector_00","unvaccinated","susceptible"
"27",4,6905935.3718463,"20-64","sector_00","unvaccinated","susceptible"
"28",5,6905935.13304602,"20-64","sector_00","unvaccinated","susceptible"
"29",6,6905934.87117731,"20-64","sector_00","unvaccinated","susceptible"
"30",7,6905934.58076566,"20-64","sector_00","unvaccinated","susceptible"
"31",8,6905934.25694262,"20-64","sector_00","unvaccinated","susceptible"
"32",9,6905933.89492151,"20-64","sector_00","unvaccinated","susceptible"
"33",10,6905933.48969239,"20-64","sector_00","unvaccinated","susceptible"
"34",0,12663010.7336988,"65+","sector_00","unvaccinated","susceptible"
"35",1,12663010.4750903,"65+","sector_00","unvaccinated","susceptible"
"36",2,12663010.2644296,"65+","sector_00","unvaccinated","susceptible"
"37",3,12663010.0706634,"65+","sector_00","unvaccinated","susceptible"
"38",4,12663009.8761839,"65+","sector_00","unvaccinated","susceptible"
"39",5,12663009.6704005,"65+","sector_00","unvaccinated","susceptible"
"40",6,12663009.446316,"65+","sector_00","unvaccinated","susceptible"
"41",7,12663009.1986904,"65+","sector_00","unvaccinated","susceptible"
"42",8,12663008.9230441,"65+","sector_00","unvaccinated","susceptible"
"43",9,12663008.6151051,"65+","sector_00","unvaccinated","susceptible"
"44",10,12663008.2704894,"65+","sector_00","unvaccinated","susceptible"
"45",0,390745.9609254,"20-64","sector_01","unvaccinated","susceptible"
"46",1,390745.940222042,"20-64","sector_01","unvaccinated","susceptible"
